# Launch date,Name,COSPAR ID,End date,Flyby date,Orbit insertion,Enter atmosphere,Landing date,Space Agency,Objective,In-play score,Final score,Successfully reached orbit,Successfully left orbit,Successful flyby?,Successful orbiter?,Successful atmosphere probe?,Successful lander?,Successful rover?,Link,Report,Reporter,Notes
1938-10-31T00:45:00,Martian Invasion Fleet,,1938-10-31T00:45:00,,,,,mars,earth,,0-0,,,,,,,,http://www.waroftheworlds.org/,"Various scattered reports detail an invasion force of hundreds at Grovers Mill, NJ from Mars on 1938 October 31 around 01:50:00 UTC. Unfortunately, these reports are unsubstantiated; but even if true, the landers don't appear to have left with any information.<br /><br />Scientists at Yoyodyne Propulsion Systems were unavaliable for comment.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",
1967-03-27,Unnamed,,1967-03-27,,,,,earth-soviet,mars,,0-1,FALSE,,,,,,,,Launch Failure,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",The launcher failed.
1967-06-12T02:40:00,Venera 4,1967-058A,1967-10-18T02:00:00,,,1967-10-18T02:00:00,,earth-soviet,venus,,1-1,TRUE,TRUE,,,,-1,,,"After 19 months of therapy, Earth's coach gave Russia the go-ahead to get back into the game. And this player's next attempt did well: On 1967 October 18, the spacecraft entered the Venusian atmosphere carrying a number of scientific instruments. ""Signals were returned by the spacecraft, which braked and then deployed a parachute system after entering the Venusian atmosphere, until it reached an altitude of 24.96 km.""<br /><br />Which kinda makes you wonder what happened after that, doesn't it?",,"Signals were returned by the spacecraft, which braked and then deployed a parachute system."
1967-06-14T06:01:00,Mariner 5,1967-060A,1967-11-01,,,,,earth-nasa,venus,,1-0,TRUE,TRUE,1,,,,,,"Preventing the shut-out by carefully watching his team-mate's tactics over the last five years, player USA successfully overcomes Venus' defenses and flies past the planet at a distance of 4,000 km on 1967 October 19. ""The spacecraft instruments measured both interplanetary and Venusian magnetic fields, charged particles, and plasmas, as well as the radio refractivity and UV emissions of the Venusian atmosphere.""","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","Went past the planet at a distance of 4,000 km on 1967 October 19. Measured interplanetary and Venusian magnetic fields, charged particles, and plasmas, as well as the radio refractivity and UV emissions of the Venusian atmosphere."
1967-06-17T02:36:38,Cosmos 167,1967-063A,1967-06-25,,,,,earth-soviet,venus,,0-1,TRUE,FALSE,,,,,,,"Trying to follow on closely with another play, Russia suffers a relapse when the spacecraft fails to leave Earth orbit and re-enters the atmosphere eight days later.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to leave Earth orbit.
1969-01-05T06:28:00,Venera 5,1969-001A,1969-05-16,,,,1969-05-16,earth-soviet,venus,,1-0,TRUE,TRUE,,-1,,,,,"In a bout of mania, on 1969 May 16, while the capsule was suspended from the parachute, 53 minutes of data from the Venusian atmosphere were returned. Its real mission, if anyone has been paying attention to this player, was to deposit a medallion bearing the coat of arms of the U.S.S.R. and a bas-relief of V.I. Lenin to the night side of Venus.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","On 1969 May 16, the probe returned 53 minutes of data whilst parachuting through the Venusian atmosphere."
1969-01-10T05:52:00,Venera 6,1969-002A,1969-05-17,,,,1969-05-17,earth-soviet,venus,,1-0,TRUE,TRUE,,-1,,,,,"Just to prove it wasn't a fluke, Russia gets another one in off the hoop. It only transmitted 51 minutes of data back home on 1969 May 17, but that's ok. They got another medallion bearing the coat of arms of the U.S.S.R. and a bas-relief of V.I. Lenin to the night side of Venus - which is what counts.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Transmitted 51 minutes of data.
1969-02-25T01:29:02,Mariner 6,1969-014A,,1969-07-31T05:03:00,,,,earth-nasa,mars,,1-0,TRUE,TRUE,1,,,,,,Earth scores another goal on 1969 Jul 31 with this flyby mission.,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Successful flyby mission
1969-03-27T10:40:45,Mars 1969A,MARS69A,1969-03-27T10:48:04,,,,,earth-soviet,mars,,0-1,FALSE,,,,,,,,"This Soviet Mars mission was never officially announced but has since been identified as a planned orbiter. After successful operation of the first two stages, the third stage launcher experienced a malfunction in a rotor bearing which caused the turbopump to catch fire. The engine shut down and exploded (good thing it shut down, eh?); the remains of the craft landing in the Altai mountains.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",The third stage launcher experienced a malfunction and the engine exploded.
1969-03-27T22:22:01,Mariner 7,1969-030A,,1969-08-05T05:00:49,,,,earth-nasa,mars,,1-0,TRUE,TRUE,1,,,,,,"In an amazing play to keep the game from being a shut-out, Mariner 7 flies by Mars on 1969 Aug 05.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Successful flyby mission.
1969-04-02T10:33:00,Mars 1969B,MARS69B,1969-04-02T10:33:41,,,,,earth-soviet,mars,,0-1,,,,,,,,,"This Soviet Mars mission was never officially announced but has since been identified as a planned orbiter. The first stage of the launcher failed almost immediately. At 0.02 seconds after liftoff, one of the six first-stage rockets exploded. The control system initially compensated for the lost engine and the launch proceeded on 5 engines - until 25 seconds after liftoff, at approximately 1 km altitude, the rocket began to tip over to a horizontal position. The five engines shut down and the rocket impacted (ouch) and exploded (very important) 41 seconds after liftoff and approximately 3 km from the launch pad.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",The first stage of the launcher failed 0.02 seconds after liftoff and the rocket crashed 3 km from the launch pad.
1970-08-17T05:38:00,Venera 7,1970-060A,,,,,1970-12-15T06:00:00,earth-soviet,venus,,1-0,TRUE,TRUE,,,,1,,,"Venera 7 entered the atmosphere of Venus on December 15, 1970, and a landing capsule was jettisoned. While the lander was descending by parachute, the capsule antenna was extended, and signals were returned for 35 min. Another 23 min of very weak signals were received after the spacecraft landed on Venus. This makes Venera 7 the first probe to return data after landing on another planet.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Returned 35 minutes of signals during descent and another 23 minutes of data after landing.
1970-08-22T05:06:09,Cosmos 359,1970-065A,1970-08-22T05:06:09,,,,,earth-soviet,venus,,0-1,,,,,,,,,"You know the story: The probe gets to orbit, the escape stage fails, a bas-relief of Lenin is now left orbiting the Earth.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to leave Earth orbit.
1971-05-08T01:11:00,Mariner 8,MARINH,1971-05-08T01:17:05,,,,,earth-nasa,mars,,0-1,,,,,,,,,"Just when you thought things were under control, after the main Centaur engine was ignited at T+265 seconds, the upper stage began to oscillate in pitch and tumbled out of control. The Centaur stage shut down 365 seconds after launch due to starvation caused by the tumbling. The Centaur and spacecraft payload separated and re-entered the Earth's atmosphere approximately 1500 km downrange and fell into the Atlantic Ocean about 560 km north of Puerto Rico.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Main stage failed and the rocket crashed 1500 km downrange in the Atlantic Ocean.
1971-05-10T16:58:42,Cosmos 419,1971-042A,1971-05-12,,,,,earth-soviet,mars,,0-1,,,,,,,,,"The booster successfully put the spacecraft into low Earth parking orbit, but the stage 4 failed to function due to a bad ignition timer setting (the timer, which was supposed to start ignition 1.5 hours after orbit, was apparently set for 1.5 years). The orbit decayed much sooner than expected (only 2 days) and the spacecraft re-entered the Earth's atmosphere on 1971 May 12.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Failed to leave Earth orbit.
1971-05-19T16:22:44,Mars 2,1971-045A,,,1971-11-27,,,earth-soviet,mars,,1-1,TRUE,TRUE,,1,,-1,,,"Beginning a short rally, Earth player Russia finally orbits Mars on 1971 Nov 27. The orbiter sent data back to Earth. The descent module, however, entered the Martian atmosphere at a steeper angle than planned. The descent system malfunctioned and the lander crashed at 45 deg S, 302 deg W, delivering the Soviet Union coat of arms to the surface. If you can recognize it.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",The orbiter sent data back to Earth. The descent module malfunctioned and the lander crashed.
1971-05-28T15:26:30,Mars 3,1971-049A,,,,,1971-12-02T09:14:00,earth-soviet,mars,,1-0,TRUE,TRUE,,,,1,,,"Following one good toss with another, Earth player Russia sends another orbiter/lander to Mars. Twenty seconds after landing, the lander stopped working... And did I mention that the orbiter had suffered from a partial loss of fuel and did not have enough to put itself into a planned 25 hour orbit? No matter. We got pictures!","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","Twenty seconds after landing, the lander stopped working. The orbiter failed."
1971-05-30T22:23:00,Mariner 9,1971-051A,1972-10-27,,1971-11-14,,,earth-nasa,mars,,1-0,TRUE,TRUE,,1,,,,,Mariner 9 arrived at Mars and began orbiting on 1971 Nov 14 making it the first spacecraft to orbit another planet (even though fellow player Russia began a successful attempt to do so 11 days earlier). We expect it to decay and plunge into the Martian atmosphere in late 2022. Where will <i>you</i> be? On Mars?,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Began orbiting on 1971 Nov 14.
1972-03-03,Pioneer 10,1972-012A,,1973-12-04,,,,earth-nasa,jupiter,,1-0,TRUE,TRUE,1,,,,,,"The spacecraft achieved its closest approach to Jupiter on 04 December 1973, when it reached approximately 2.8 Jovian radii (about 200,000 km). After the fly-by it continued out of the solar system heading generally towards the red star Aldebaran. The journey over a distance of 68 light years to Aldebaran will require about two million years to complete. This match will be covered by the Interstellar Lobbing League.",Stuart Lowe,"The spacecraft achieved its closest approach was at 2.8 Jovian radii (about 200,000 km). After the fly-by it continued out of the solar system heading generally towards the red star Aldebaran. The journey over a distance of 68 light years to Aldebaran will require about two million years to complete."
1972-03-27T04:15:01,Venera 8,1972-021A,1972-07-22T10:22:11,,,1972-07-22T08:37:00,1972-07-22T09:32:00,earth-soviet,venus,,1-0,TRUE,TRUE,,,,1,,,The spacecraft entered the atmosphere of Venus on 22 July 1972 at 08:37 UT. Venera 8 transmitted data during the descent and landed at 09:32 UT. It transmitted data for 50 minutes.,,
1972-03-31T04:02:33,Cosmos 482,1972-023A,1972-04-03T01:00:00,,,,,earth-soviet,venus,,0-1,TRUE,FALSE,,,,,,,"All together now: The launcher put the spacecraft into Earth orbit, but the escape stage failed and the spacecraft broke into four pieces, two of which are still in orbit.<br /><br />We're not sure about the bas-relief of Lenin.",,Failed to leave Earth orbit as it broke into four pieces.
1973-04-06T02:11:00,Pioneer 11,1973-019A,,1974-12-03,,,,earth-nasa,jupiter,,1-0,TRUE,TRUE,1,,,,,,,,
1973-04-06T02:11:00,Pioneer 11,1973-019A,,1979-09-01,,,,earth-nasa,saturn,,1-0,TRUE,TRUE,,,,,,,,,
1973-07-21T19:30:59,Mars 4,1973-047A,,1974-02-10T15:34:00,,,,earth-soviet,mars,,1-0,TRUE,TRUE,1,,,,,,"A very close play. The hardware reached Mars on 1974 February 10. Due to a flaw in the computer chip, the retro-rockets never fired to slow the craft into Mars orbit. Mars 4 flew by the planet at a range of 2200 km. It returned one swath of pictures and some radio occultation data which constituted the first detection of the nightside ionosphere on Mars.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Reached Mars on 1974 February 10 but failed to attain orbit due to hardware failure and flew by the planet at a range of 2200 km. It returned pictures and some radio occultation data giving the first detection of the nightside ionosphere on Mars.
1973-07-25T18:55:48,Mars 5,1973-049A,,,1974-02-28,,,earth-soviet,mars,,1-0,TRUE,TRUE,,1,,,,,Another successful orbiter reaching mars on 1974 Feb 12.,"<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Reached mars on 1974 Feb 12.
1973-08-05T17:45:48,Mars 6,1973-052A,,,,,1974-03-12T09:11:05,earth-soviet,mars,,0-1,TRUE,TRUE,,,,-1,,,"An overzealous attempt to land on the planet. Contact with the descent module was lost at 09:11:05 UT in ""direct proximity to the surface"", probably either when the retrorockets fired or when it hit the surface at an estimated 61 m/s. The descent module transmitted 224 seconds of data before transmissions ceased. Unfortunately, much of the data were unreadable due to a flaw in a computer chip which led to degradation of the system during its journey to Mars.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","The descent module transmitted 224 seconds of data before transmissions ceased. Unfortunately, much of the data were unreadable."
1973-08-09T17:00:17,Mars 7,1973-053A,,1974-03-09,,,,earth-soviet,mars,,0-1,TRUE,TRUE,,,,-1,,,"INCOMPLETE! And so close, too. Due to a problem in the operation of one of the onboard systems (attitude control or retro-rockets) the landing probe separated prematurely (4 hours before encounter) and missed the planet by 1300 km.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",A malfunction caused the landing probe to separate 4 hours before encounter so it missed the planet.
1973-11-03T05:45:00,Mariner 10,1973-085A,1975-03-24,1974-02-05T17:01:00,,,,earth-nasa,venus,,1-0,TRUE,TRUE,1,,,,,http://cps.earth.northwestern.edu/M10/bulletins.html,"Starting a-so-far-unbroken winning streak for Earth, in what turns out to be, also, the <strong>first</strong> <a href=""#mercury"">double play</a>, Mariner 10 sent back the </B>first</B> high-resolution pictures of Venus on February 5, 1974 at 17:01 at a closest range of 5,768 km before using Venus for the <strong>first</strong> gravitationally assisted transfer orbit to <a href=""#mercury"">Mercury</a>.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>","Sent back the first high-resolution pictures of Venus on February 5, 1974 at 17:01 at a closest range of 5,768 km."
1973-11-03T05:45:00,Mariner 10,1973-085A,1975-03-24,,1974-03-29,,,earth-nasa,mercury,,1-0,TRUE,TRUE,1,,,,,http://cps.earth.northwestern.edu/M10/bulletins.html,,,
1975-06-08T02:38:00,Venera 9,1975-050D,1975-12-25,,1975-10-20,,1975-10-22T05:13:00,earth-soviet,venus,,2-0,TRUE,TRUE,,1,,1,,,"This orbiter/lander pair arrived at Venus on 1975 October 20. The orbiter acted as a communications relay for the lander which landed on October 22 at 05:13 near local noon. A system of circulating fluid was used to distribute the heat load. This system, plus precooling prior to entry, permitted operation of the spacecraft for 53 min after landing.<br /><br />Although not specifically mentioned in the report, I believe this was the first craft to relay <a href=""http://nssdc.gsfc.nasa.gov/imgcat/html/mission_page/VN_Venera_9_Lander_page1.html""> images from the Venusian surface</a>.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Lander operated for 53 min after landing.
1975-06-14T03:00:31,Venera 10,1975-054D,1975-10-25T06:22:00,,1975-10-23,,1975-10-25T05:17:00,earth-soviet,venus,,2-0,TRUE,TRUE,,1,,1,,,"This orbiter/lander pair arrived at Venus on 1975 October 23. The lander touched down on Venus on October 25 at 05:17 near local noon. It sent back data for an amazing 65 minutes before it succumbed to the intense heat and pressure. The lander was similar to Venera 9 and the landing site was about 2,200 km from the Venera 9 landing site.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Lander sent back data for 65 minutes.
1975-08-20T21:22:00,Viking 1,1975-075A,1980-08-17,,1976-06-19,,1976-07-20,earth-nasa,mars,,1-0,TRUE,TRUE,,,,1,,,"One of the better remembered plays in the game. 1976 June 19 the orbiter began to orbit and the lander landed on July 20. Shortly after landing, the probe sent back <a href=""http://nssdc.gsfc.nasa.gov/imgcat/html/object_page/vl1_p17045.html""> the first picture from the surface of Mars</a>.","<a href=""http://www.bio.aps.anl.gov/~dgore/fun/PSL/index.html"">David Gore</a>",Lander sent back the first picture from the surface of Mars.
